,Modul1,Modul2,Modul3,Modul4,Modul5,Modul6,Modul7,Modul8,Modul9,Modul10,Modul11,Modul12,Modul13,Modul14,Modul15
Student1,0,0,4,0,0,0,5,0,1,0,0,0,0,0,0
Student2,0,0,0,0,0,0,5,12,1,0,0,0,0,0,0
Student3,0,0,0,0,12,0,0,1,0,0,0,4,0,0,0
Student4,0,0,0,3,0,0,0,1,0,0,0,4,0,0,0
Student5,0,0,0,1,0,2,0,0,0,9,0,0,0,0,0
Student6,0,0,0,0,0,0,0,6,8,0,0,0,4,0,0
Student7,0,0,7,0,0,0,6,0,0,5,0,0,0,0,0
Student8,8,0,0,0,0,0,0,0,0,5,0,0,0,1,0
Student9,0,0,0,0,0,11,0,5,0,0,0,0,0,1,0
Student10,0,0,0,0,0,0,0,0,0,0,0,2,9,1,0
Student11,0,2,0,0,0,0,0,1,0,0,0,0,0,6,0
Student12,0,0,0,0,0,4,0,1,0,0,0,0,0,6,0
Student13,0,0,0,1,6,0,0,0,0,0,0,0,0,0,3
Student14,0,0,0,1,6,0,0,4,0,0,0,0,0,0,0
Student15,0,1,0,0,0,0,4,0,0,0,0,3,0,0,0
Student16,0,1,0,0,9,0,0,0,0,0,0,0,0,0,2
Student17,0,0,0,0,6,0,0,0,0,0,9,0,0,10,0
Student18,0,0,7,0,0,0,0,0,3,2,0,0,0,0,0
Student19,0,2,0,0,5,0,0,0,0,0,10,0,0,0,0
Student20,0,0,1,0,0,3,0,0,0,0,0,0,0,0,7
Student21,0,2,0,0,0,0,6,4,0,0,0,0,0,0,0
Student22,0,0,0,0,0,2,5,0,1,0,0,0,0,0,0
Student23,0,0,0,6,0,2,0,0,1,0,0,0,0,0,0
Student24,0,0,0,0,0,0,0,0,0,0,7,0,10,6,0
Student25,0,0,0,3,0,2,0,0,0,0,7,0,0,0,0
Student26,0,0,11,1,0,0,0,0,0,0,0,0,4,0,0
Student27,0,0,0,0,0,0,0,6,0,9,7,0,0,0,0
Student28,0,0,7,0,0,0,0,0,2,0,0,0,0,1,0
Student29,0,0,0,0,0,0,0,0,2,5,0,0,0,0,4
Student30,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0
Student31,0,0,0,0,0,0,0,5,0,0,0,2,0,1,0
Student32,0,0,0,0,0,0,0,1,0,0,3,8,0,0,0
Student33,0,2,0,0,7,4,0,0,0,0,0,0,0,0,0
Student34,0,0,0,1,0,0,0,0,5,0,0,0,0,0,3
Student35,0,0,0,1,0,10,0,4,0,0,0,0,0,0,0
Student36,0,0,0,0,0,0,0,0,6,0,0,0,5,0,2
Student37,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2
Student38,0,1,0,0,0,0,4,0,0,2,0,0,0,0,0
Student39,0,0,0,0,0,0,4,0,0,2,9,0,0,0,0
Student40,0,0,0,0,0,3,6,0,0,0,10,0,0,0,0
