,MMLS.A1 (12 P),MMLS.A2 (10 P),MMLS.A3 (10 P),MMLS.A4 (4 P),MMLS.A5 (20 P),MMLS.A6 (7 P),MMLS.A7 (8 P),MMLS.A9 (10 P),MMLS.A10 (12 P),MMLS.A11 (17 P),MMLS.A12 (3 P),MMLS.A13 (7 P),MMLS.A14 (10 P),MMLS.A15 (10 P),MMLS.A16 (4 P),
,12,15,15,4,20,7,8,15,12,17,3,7,15,10,4,
1,1,13,14,2,15,11,7,9,8,4,12,3,5,6,10,50
2,3,5,6,4,12,11,2,8,1,9,14,15,10,13,7,50
3,8,10,11,9,14,13,4,15,3,5,12,6,1,2,7,50
4,6,9,8,10,14,15,5,1,11,2,7,4,13,12,3,50
5,2,12,1,3,10,8,7,5,14,9,11,6,13,15,4,50
6,9,14,15,1,10,11,2,12,4,5,13,8,6,7,3,50
7,5,8,1,4,10,2,3,14,7,11,12,13,9,15,6,50
8,9,4,2,7,15,5,11,3,8,10,6,12,14,13,1,50
9,1,6,2,10,12,13,5,9,7,14,8,15,4,3,11,50
10,2,8,9,4,11,1,10,5,12,13,6,7,14,15,3,50
11,1,4,3,2,7,15,8,11,12,5,10,6,13,14,9,50
12,5,3,2,1,13,9,4,11,15,6,8,12,10,7,14,50
13,1,5,2,10,15,6,9,3,7,8,11,12,14,13,4,50
14,1,15,10,12,14,11,4,8,9,6,13,5,3,2,7,50
15,8,1,4,9,15,14,7,6,13,3,2,5,11,12,10,50
16,3,4,2,1,10,8,9,7,13,15,11,12,6,5,14,50
17,2,9,6,3,15,1,8,14,7,5,13,4,10,11,12,50
18,4,8,6,1,15,9,3,13,14,2,7,12,11,10,5,50
19,3,6,7,8,12,1,5,2,4,15,9,11,10,14,13,50
20,1,4,2,6,11,7,10,8,14,15,9,12,3,5,13,50
21,6,15,1,2,14,7,5,9,10,12,8,11,4,3,13,50
22,3,6,7,2,9,14,13,10,11,1,4,5,12,15,8,50
23,1,9,2,5,10,11,8,14,12,6,15,3,4,7,13,50
24,9,3,2,1,15,6,7,4,14,5,10,8,12,11,13,50
25,13,14,3,4,15,5,8,2,7,6,12,9,10,11,1,50
26,4,6,3,1,14,15,7,9,11,5,13,2,12,10,8,50
27,6,5,1,10,15,12,2,3,4,13,11,7,14,9,8,50
28,5,11,15,8,12,13,7,14,2,3,10,4,1,9,6,50
29,12,8,9,10,4,5,15,6,13,7,14,1,2,3,11,50
30,3,5,6,4,12,11,2,8,1,9,14,15,10,13,7,50
31,14,15,13,12,8,5,9,7,4,6,11,3,1,2,10,50
32,3,12,2,7,13,10,1,11,6,4,15,5,8,9,14,50
33,1,10,3,4,15,11,5,13,2,7,9,6,14,8,12,50
34,6,3,5,8,14,4,9,7,10,13,2,11,15,12,1,50
35,11,6,3,10,9,4,12,5,7,8,14,13,1,2,15,50
36,4,10,9,8,14,12,7,11,2,6,13,5,3,1,15,50
37,5,4,1,9,14,11,12,2,3,13,10,6,15,8,7,50
38,3,1,13,9,8,4,2,15,11,14,10,5,7,6,12,50
